fecha,naturgy_ban,centro,cuyana,gasnea,litoral,metrogas,gasnor,pampeana,sur
2021-03-01,239883,174981,178003,18125,263098,451610,185326,362626,284795
2021-04-01,241364,142719,158802,19023,264429,472128,190487,368410,373979
2021-05-01,376097,187171,194255,27924,319710,513993,211238,459095,493412
2021-06-01,444440,214159,257728,33524,351976,533604,238720,553978,582121
2021-07-01,451943,229611,271310,36819,378602,621103,230175,608270,584125
2021-08-01,428061,203455,247718,32541,337784,669976,226554,578708,562305
2021-09-01,348647,162015,218555,24562,295768,506582,162929,504051,429284
2021-10-01,296669,173901,199046,21693,259931,458993,194817,442424,368999
2021-11-01,256901,163475,194289,18121,242193,439554,205031,430165,276351
2021-12-01,235763,167457,193857,16830,234249,494120,231701,409818,226013
2022-01-01,217286,166830,192295,16557,226958,509880,243650,389800,218709
2022-02-01,215845,138639,160902,17231,217553,451132,169365,333298,193479
2022-03-01,259090,174865,175285,20238,253218,457855,170618,362737,297455
2022-04-01,277113,154505,178279,21296,268455,447503,161372,407587,370060
2022-05-01,400901,217152,234922,29166,342706,531576,176944,516890,505604
2022-06-01,469669,251931,272289,34672,401085,523022,210698,617403,605798
2022-07-01,442835,244406,278627,36015,360464,620535,206246,635886,633655
2022-08-01,420459,228930,256946,33619,316102,559776,173959,603006,572540
2022-09-01,337514,191719,209169,27905,272792,525955,157576,507365,446616
2022-10-01,290711,159147,175919,21576,272763,465922,154148,498448,346098
2022-11-01,240176,131204,172117,18299,254020,455863,164760,424769,210307
2022-12-01,216746,133720,187043,17157,239416,485140,180910,411644,195491
2023-01-01,204538,131141,191079,16133,215944,411407,182969,429157,198246
2023-02-01,194758,125175,164284,17275,199558,357366,162495,398666,209111
2023-03-01,222784,134630,192852,20227,227449,496196,173931,420554,252217
2023-04-01,252479,140976,173644,19713,256375,423568,142597,452099,336479
2023-05-01,319209,171761,205828,25720,304241,464875,166945,501233,454608
2023-06-01,386596,223274,257596,29578,337805,485370,209728,594189,574374
2023-07-01,410242,237437,269675,34976,342202,517377,209885,653235,635730
2023-08-01,414385,204508,270298,31991,305464,554024,190579,606333,590322
2023-09-01,373459,179776,229459,27609,286617,541557,163574,541579,517045
2023-10-01,287488,150492,176487,22000,258002,425549,156942,430472,370838
2023-11-01,256767,140273,163867,20471,236628,470980,170720,401354,310418
2023-12-01,225872,133390,159454,16352,202979,438066,182807,379072,228155
2024-01-01,198940,117865,163228,15844,214586,510024,215946,401573,168404
2024-02-01,191702,115248,168292,15739,211432,474002,177195,381763,167707
2024-03-01,220369,122657,177220,18363,219689,480756,188040,369926,261268
2024-04-01,247097,137060,185970,21758,257815,451131,153590,432182,380804
2024-05-01,370103,218295,271638,35154,336131,459152,171706,546715,580893
2024-06-01,320924,209257,250908,31514,321601,518446,143728,528700,610132
2024-07-01,420651,266094,293242,38603,376715,608979,181079,666031,665110
2024-08-01,431376,238119,290113,34726,330729,594953,169182,603086,592765
2024-09-01,316823,158341,216419,24529,258035,531334,124972,454460,471740
2024-10-01,260204,143418,212400,49699,266766,439293,154628,398860,334526
2024-11-01,228569,133249,188518,17717,234751,483205,138870,344847,255802
2024-12-01,212577,130035,176439,46732,218746,448093,166961,385774,221651
2025-01-01,175832,123316,169036,16271,220960,519777,175652,404745,203406
2025-02-01,184956,116587,168619,16224,201236,513287,183645,380794,191628
2025-03-01,218727,129173,166982,17485,214534,477941,153744,324894,280474
2025-04-01,239526,145133,186865,20206,232331,390135,121015,406639,403598
2025-05-01,297601,159581,211345,23914,265562,480313,159308,421649,478073
2025-06-01,422057,244027,248867,38150,340759,585629,195619,569312,573128
2025-07-01,404043,250935,281161,39333,314894,605853,204557,592383,630065
2025-08-01,389707,228604,255813,32690,294010,613149,176136,545112,546379
2025-09-01,323137,173453,197060,24229,252235,477782,151130,434308,444436
2025-10-01,255323,140923,150445,18703,244370,391722,162563,309891,306056
2025-11-01,230034,126448,125034,17260,216186,392759,155569,279302,235683
2025-12-01,206971,118931,142448,16019,191994,507071,172974,249243,205466
2026-01-01,192442,108275,151076,15863,196708,489836,163651,279467,155026
2026-02-01,168762,111164,148296,16533,187859,441880,154349,264526,174972
